"pid","grp","duration","entry","exit","num","ind"
16,"inactive",5,0,25,7046,1
18,"inactive",5,0,29,7046,1
21,"inactive",5,0,24,7046,1
28,"inactive",5,0,24,7046,1
30,"inactive",5,0,30,7046,1
33,"inactive",5,0,31,7046,1
37,"inactive",6,1,28,7046,1
38,"inactive",6,1,28,7046,1
40,"inactive",6,1,29,7046,1
42,"inactive",6,1,27,7046,1
45,"inactive",6,1,27,7046,1
50,"inactive",6,1,32,7046,1
51,"inactive",6,1,33,7046,1
54,"inactive",6,1,34,7046,1
56,"inactive",6,1,34,7046,1
67,"inactive",6,1,31,7046,1
69,"inactive",6,1,30,7046,1
74,"inactive",7,2,29,7046,1
79,"inactive",7,2,33,7046,1
84,"inactive",7,2,34,7046,1
119,"inactive",8,3,39,7046,1
123,"inactive",8,3,42,7046,1
124,"inactive",8,3,40,7046,1
134,"inactive",9,4,43,7046,1
138,"inactive",9,4,38,7046,1
139,"inactive",9,4,44,7046,1
140,"inactive",9,4,39,7046,1
144,"inactive",9,4,44,7046,1
166,"inactive",9,4,42,7046,1
169,"inactive",9,4,41,7046,1
172,"inactive",10,5,45,7046,1
174,"inactive",10,5,44,7046,1
177,"inactive",10,5,46,7046,1
185,"inactive",10,5,44,7046,1
194,"inactive",10,5,51,7046,1
197,"inactive",10,5,47,7046,1
199,"inactive",10,5,50,7046,1
203,"inactive",10,5,44,7046,1
207,"inactive",10,5,49,7046,1
208,"inactive",10,5,48,7046,1
210,"inactive",10,5,47,7046,1
220,"inactive",11,6,51,7046,1
228,"inactive",11,6,49,7046,1
229,"inactive",11,6,49,7046,1
235,"inactive",11,6,53,7046,1
241,"inactive",12,7,55,7046,1
253,"inactive",12,7,56,7046,1
267,"inactive",12,7,54,7046,1
279,"inactive",13,8,57,7046,1
281,"inactive",13,8,60,7046,1
283,"inactive",13,8,59,7046,1
285,"inactive",13,8,55,7046,1
290,"inactive",14,9,56,7046,1
309,"inactive",14,9,59,7046,1
313,"inactive",15,10,58,7046,1
316,"inactive",15,10,65,7046,1
321,"inactive",15,10,65,7046,1
331,"inactive",15,10,61,7046,1
363,"inactive",16,11,73,7046,1
365,"inactive",16,11,72,7046,1
373,"inactive",16,11,73,7046,1
377,"inactive",17,12,72,7046,1
381,"inactive",17,12,68,7046,1
382,"inactive",17,12,69,7046,1
392,"inactive",17,12,69,7046,1
399,"inactive",17,12,69,7046,1
437,"inactive",19,14,77,7046,1
441,"inactive",19,14,77,7046,1
446,"inactive",19,14,76,7046,1
454,"inactive",19,14,78,7046,1
457,"inactive",19,14,87,7046,1
471,"inactive",20,15,84,7046,1
486,"inactive",21,16,81,7046,1
489,"inactive",21,16,81,7046,1
496,"inactive",21,16,84,7046,1
502,"inactive",21,16,82,7046,1
512,"inactive",22,17,84,7046,1
513,"inactive",22,17,86,7046,1
520,"inactive",22,17,89,7046,1
531,"inactive",22,17,86,7046,1
556,"inactive",23,18,92,7046,1
564,"inactive",24,19,94,7046,1
570,"inactive",24,19,96,7046,1
589,"inactive",24,19,93,7046,1
590,"inactive",24,19,93,7046,1
604,"inactive",25,20,97,7046,1
606,"inactive",25,20,100,7046,1
616,"inactive",25,20,100,7046,1
628,"inactive",25,20,106,7046,1
632,"inactive",26,21,102,7046,1
640,"inactive",26,21,101,7046,1
641,"inactive",26,21,101,7046,1
656,"inactive",27,22,105,7046,1
659,"inactive",27,22,106,7046,1
682,"inactive",27,22,104,7046,1
693,"inactive",27,22,110,7046,1
695,"inactive",28,23,111,7046,1
705,"inactive",28,23,107,7046,1
729,"inactive",28,23,111,7046,1
736,"inactive",29,24,113,7046,1
743,"inactive",29,24,113,7046,1
744,"inactive",29,24,121,7046,1
749,"inactive",29,24,113,7046,1
